index,query,primaryIntent,manual_label_count,note
4,家居装饰,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
7,水果中文,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
8,电商详情图,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
13,趣味经济学知识科普,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
15,食物,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
17,唯美春天,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
23,english-chinese,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
24,language learning expressions,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
26,remote destination,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
27,unique cultural experiences,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
28,short city escapes,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
29,creative comfort food,consumer,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
35,动物 词汇,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
38,infj vs entp dating compatibility chart,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
39,cuban sandwich recipe poster,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
40,bilingual flashcards for kids learning korean fruits,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
41,watercolor map of europe travel destinations,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
43,marvel mbti character chart 16 types,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
44,lunar new year red envelope graphic design,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
45,1950s vintage diner illustration retro poster,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
48,Spanish vocabulary printable,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
54,book lovers gift guide,creative,0,手工核查仍为零：Pinterest 对该查询未显示 One Bar 子意图芯片
